ID	log2(fold change)	-log10(Pvalue)
A_23_P122443	-0.087	2.708
A_23_P122508	-0.221	2.865
A_23_P122863	-0.072	3.018
A_23_P123086	0.164	3.426
A_23_P12343	-0.068	3.092
A_23_P124024	0.114	3.264
A_23_P124892	-0.111	2.924
A_23_P125771	0.135	2.939
A_23_P127406	-0.067	2.599
A_23_P127760	0.254	2.704
A_23_P12784	0.064	2.589
A_23_P127891	-0.118	3.019
A_23_P128598	0.065	2.618
A_23_P128956	0.057	2.592
A_23_P128967	-0.078	2.663
A_23_P129101	0.079	3.107
A_23_P129425	0.123	3.377
A_23_P12992	-0.053	2.615
A_23_P130488	-0.183	4.331
A_23_P131020	-0.076	2.668
A_23_P131299	-0.077	3.15
A_23_P131449	0.112	2.873
A_23_P132027	-0.1	3.492
A_23_P132285	-0.08	3.258
A_23_P133284	0.102	2.97
A_23_P133694	-0.09	3.145
A_23_P133770	-0.062	2.747
A_23_P134139	-0.119	2.832
A_23_P134237	-0.14	2.837
A_23_P134295	-0.067	2.928
A_23_P134419	-0.255	2.867
A_23_P134477	-0.066	3.064
A_23_P135164	-0.173	3.377
A_23_P135248	0.176	3.018
A_23_P135611	-0.057	2.726
A_23_P137157	-0.126	3.654
A_23_P137423	-0.103	2.931
A_23_P137543	-0.056	2.777
A_23_P137578	0.075	2.826
A_23_P137848	-0.056	2.653
A_23_P137948	-0.067	3.104
A_23_P138137	-0.083	2.894
A_23_P138541	0.11	2.798
A_23_P139099	0.133	3.334
A_23_P139143	-0.182	2.832
A_23_P139260	-0.09	2.614
A_23_P139418	-0.104	2.875
A_23_P139704	-0.117	3.176
A_23_P139740	0.197	3.667
A_23_P140146	-0.086	3.389
A_23_P140154	-0.076	3.094
A_23_P140375	0.205	3.528
A_23_P140821	-0.062	2.746
A_23_P140907	-0.134	4.444
A_23_P141142	0.234	4.514
A_23_P141680	0.109	3.288
A_23_P141706	0.273	2.872
A_23_P143016	-0.115	3.33
A_23_P143748	-0.064	2.649
A_23_P143857	0.156	2.957
A_23_P143981	-0.119	3.401
A_23_P144458	-0.124	2.606
A_23_P144656	0.121	2.595
A_23_P144911	0.327	3.418
A_23_P144959	0.09	3.506
A_23_P14543	0.074	2.755
A_23_P145957	-0.093	2.98
A_23_P146134	0.078	2.698
A_23_P146479	-0.07	2.652
A_23_P148121	-0.141	2.763
A_23_P149946	-0.135	3.658
A_23_P150009	0.071	3.191
A_23_P150286	0.07	2.599
A_23_P150648	0.184	4.224
A_23_P152791	-0.311	3.458
A_23_P152807	-0.075	3.244
A_23_P153320	-0.125	2.804
A_23_P153867	-0.075	2.692
A_23_P15414	-0.061	2.638
A_23_P154566	-0.083	2.719
A_23_P15511	0.072	3.181
A_23_P156049	-0.127	4.257
A_23_P156327	-0.068	2.633
A_23_P156667	0.086	3.369
A_23_P156732	-0.056	2.586
A_23_P156739	-0.124	3.985
A_23_P157117	-0.128	4.291
A_23_P157299	-0.07	2.81
A_23_P157715	0.081	2.71
A_23_P157809	-0.112	2.776
A_23_P157865	-0.297	3.352
A_23_P158596	-0.136	3.129
A_23_P159125	0.226	3.045
A_23_P160336	-0.176	3.664
A_23_P160354	-0.073	2.802
A_23_P160567	-0.135	3.348
A_23_P160582	-0.13	4.124
A_23_P161439	-0.306	4.133
A_23_P162171	-0.163	3.413
A_23_P16252	-0.166	3.86
A_23_P162970	-0.08	3.226
A_23_P163209	0.166	3.116
A_23_P163278	0.108	3.167
A_23_P163455	0.075	2.894
A_23_P163682	-0.198	3.636
A_23_P164089	-0.109	3.484
A_23_P165840	-0.08	3.21
A_23_P166159	0.082	2.897
A_23_P166459	-0.106	3.446
A_23_P166677	0.062	2.728
A_23_P167298	-0.242	4.243
A_23_P167997	0.101	2.598
A_23_P168080	-0.061	2.629
A_23_P168610	0.084	2.648
A_23_P168828	0.122	3.671
A_23_P16915	-0.118	3.95
A_23_P169934	-0.189	4.26
A_23_P170491	0.189	3.808
A_23_P171107	-0.131	3.864
A_23_P171150	0.142	2.865
A_23_P171258	-0.072	2.934
A_23_P17192	0.104	3.611
A_23_P17287	-0.068	3.1
A_23_P19673	0.17	3.598
A_23_P19723	0.227	3.743
A_23_P200252	-0.081	3.507
A_23_P2006	0.204	3.1
A_23_P201035	0.091	3.336
A_23_P201181	-0.154	3.149
A_23_P201483	-0.077	2.783
A_23_P201687	-0.106	2.955
A_23_P20255	0.061	2.711
A_23_P203173	-0.183	4.391
A_23_P203891	-0.101	2.739
A_23_P204304	0.264	2.831
A_23_P204847	0.232	3.341
A_23_P204885	0.166	3.393
A_23_P205900	0.186	4.394
A_23_P207367	-0.237	3.696
A_23_P207387	-0.151	4.117
A_23_P208288	0.13	3.253
A_23_P208788	-0.124	3.193
A_23_P209347	-0.193	2.635
A_23_P209625	0.129	3.042
A_23_P209799	0.19	3.172
A_23_P210210	0.214	3.435
A_23_P210482	-0.102	3.135
A_23_P210515	0.124	2.702
A_23_P210900	-0.111	3.47
A_23_P211106	0.081	3.254
A_23_P211285	-0.082	3.177
A_23_P211957	0.131	2.709
A_23_P212050	0.082	3.239
A_23_P212339	-0.131	2.741
A_23_P212617	-0.091	2.9
A_23_P213000	-0.079	2.87
A_23_P213255	0.075	2.838
A_23_P213518	-0.069	2.79
A_23_P21485	-0.112	3.346
A_23_P214882	0.064	2.866
A_23_P215419	-0.08	3.367
A_23_P215744	0.094	2.734
A_23_P215787	0.111	3.519
A_23_P215913	-0.075	2.954
A_23_P217009	0.347	3.968
A_23_P217938	-0.082	2.776
A_23_P218463	0.074	3.046
A_23_P218476	0.103	3.62
A_23_P218784	0.196	4.387
A_23_P23839	0.118	3.22
A_23_P23966	0.105	2.848
A_23_P24433	0.069	3.011
A_23_P24444	-0.082	3.327
A_23_P24922	0.08	2.745
A_23_P25019	-0.087	2.745
A_23_P250274	0.078	3.334
A_23_P25030	-0.123	2.765
A_23_P250404	-0.093	3.475
A_23_P251132	-0.099	3.78
A_23_P251836	0.16	3.6
A_23_P252082	-0.135	4.112
A_23_P252322	0.074	2.697
A_23_P252556	0.123	3.62
A_23_P253464	-0.144	3.853
A_23_P253841	-0.068	3.179
A_23_P254120	0.147	3.897
A_23_P254181	-0.147	2.658
A_23_P2543	0.186	3.909
A_23_P254816	0.069	2.737
A_23_P254852	-0.125	3.373
A_23_P254863	0.131	3.614
A_23_P254888	-0.094	3.133
A_23_P254978	-0.056	2.624
A_23_P255869	-0.087	2.744
A_23_P255916	-0.056	2.643
A_23_P256542	-0.071	2.791
A_23_P2573	0.094	2.881
A_23_P257423	0.064	2.79
A_23_P258698	-0.115	3.482
A_23_P259135	-0.059	2.758
A_23_P259251	0.161	2.843
A_23_P259506	-0.055	2.59
A_23_P259632	-0.13	3.96
A_23_P25974	-0.075	3.283
A_23_P28598	0.211	2.79
A_23_P28652	-0.1	3.344
A_23_P29303	-0.086	3.513
A_23_P29422	-0.113	3.541
A_23_P29830	0.068	2.764
A_23_P300484	0.126	3.786
A_23_P301942	-0.218	2.907
A_23_P304237	-0.136	3.593
A_23_P304897	-0.318	4.444
A_23_P30554	-0.111	3.426
A_23_P306890	-0.106	3.363
A_23_P31064	-0.113	3.037
A_23_P311087	0.083	3.489
A_23_P31116	-0.097	3.138
A_23_P31135	-0.068	2.865
A_23_P31240	0.169	3.602
A_23_P31376	0.108	3.263
A_23_P31389	0.116	2.905
A_23_P31399	-0.085	3.333
A_23_P316381	-0.092	3.32
A_23_P316460	0.059	2.695
A_23_P318616	0.44	4.76
A_23_P319027	0.146	2.873
A_23_P32029	-0.077	2.877
A_23_P3212	-0.124	3.651
A_23_P32135	-0.144	3.941
A_23_P321501	0.19	2.841
A_23_P32165	0.088	3.092
A_23_P324523	0.065	2.628
A_23_P327519	-0.116	3.098
A_23_P327562	0.1	2.842
A_23_P327777	0.057	2.638
A_23_P328074	-0.177	3.454
A_23_P328740	-0.12	2.96
A_23_P329890	-0.086	3.104
A_23_P33196	0.182	4.3
A_23_P333498	0.077	3.063
A_23_P333683	-0.325	2.783
A_23_P33613	-0.058	2.773
A_23_P337726	0.08	3.387
A_23_P339818	0.426	4.822
A_23_P346291	-0.069	2.589
A_23_P346900	0.089	3.506
A_23_P347432	-0.084	3.561
A_23_P347468	0.1	3.409
A_23_P350172	0.069	2.59
A_23_P35066	-0.082	2.735
A_23_P35277	0.171	2.66
A_23_P3532	-0.237	3.437
A_23_P353667	-0.309	3.537
A_23_P354208	0.059	2.705
A_23_P358394	-0.06	2.659
A_23_P358662	-0.065	2.631
A_23_P358917	0.115	2.925
A_23_P3602	-0.148	3.439
A_23_P360626	-0.072	3.001
A_23_P362228	-0.134	3.762
A_23_P363331	-0.278	2.794
A_23_P363647	0.17	4.483
A_23_P365149	-0.08	3
A_23_P365614	0.087	2.908
A_23_P3663	-0.075	2.859
A_23_P36724	-0.197	3.709
A_23_P367405	-0.086	3.362
A_23_P36985	0.268	3.626
A_23_P370924	-0.076	3.115
A_23_P37265	0.059	2.709
A_23_P374767	-0.077	2.95
A_23_P37514	0.18	4.031
A_23_P375354	0.11	2.6
A_23_P376870	0.103	2.842
A_23_P377882	-0.066	2.78
A_23_P38041	0.106	3.619
A_23_P381017	-0.141	3.724
A_23_P38167	-0.086	2.682
A_23_P383118	0.125	2.687
A_23_P387031	-0.178	2.977
A_23_P387184	0.103	2.844
A_23_P388220	0.292	3.207
