ID	log2(fold change)	-log10(Pvalue)
A_32_P5251	-0.091	3.107
A_32_P528967	0.146	3.039
A_32_P53524	0.219	3.757
A_32_P63848	-0.087	2.668
A_32_P69930	0.145	4.514
A_32_P74409	-0.198	4.655
A_32_P755542	0.102	2.99
A_32_P75902	-0.084	3.214
A_32_P78101	-0.217	2.623
A_32_P831725	0.107	3.241
A_32_P83845	0.127	3.564
A_32_P86245	0.144	2.892
A_32_P919718	-0.205	2.94
A_32_P9468	0.123	3.024
A_33_P3213235	-0.119	3.336
A_33_P3213767	0.134	2.969
A_33_P3213997	0.054	2.674
A_33_P3214463	-0.105	3.032
A_33_P3214466	-0.115	3.216
A_33_P3216292	-0.138	4.543
A_33_P3216433	0.08	2.923
A_33_P3216819	-0.141	2.62
A_33_P3217559	-0.179	4.753
A_33_P3217649	0.1	3.026
A_33_P3219965	-0.126	3.058
A_33_P3220202	-0.114	3.485
A_33_P3221129	0.327	4.252
A_33_P3222892	-0.092	3.379
A_33_P3223056	0.101	3.075
A_33_P3224362	-0.115	4.081
A_33_P3227472	-0.084	2.853
A_33_P3227482	-0.089	2.701
A_33_P3227880	-0.201	2.707
A_33_P3228564	0.127	3.963
A_33_P3228931	-0.093	3.083
A_33_P3229246	0.176	3.248
A_33_P3229725	-0.072	2.72
A_33_P3230219	-0.134	4.562
A_33_P3230254	0.163	3.472
A_33_P3231771	0.225	3.308
A_33_P3232828	0.115	3.889
A_33_P3233981	0.065	2.612
A_33_P3234197	-0.097	3.648
A_33_P3234804	0.069	2.672
A_33_P3235053	-0.174	4.143
A_33_P3235262	-0.113	3.215
A_33_P3236858	-0.12	3.34
A_33_P3236986	-0.091	3.05
A_33_P3237393	0.178	4.702
A_33_P3238815	-0.102	2.754
A_33_P3239759	0.135	3.767
A_33_P3239884	0.123	2.815
A_33_P3240353	-0.094	3.609
A_33_P3240532	0.091	2.591
A_33_P3240543	-0.075	3.377
A_33_P3240702	-0.075	2.683
A_33_P3241646	-0.065	2.621
A_33_P3241937	-0.093	2.813
A_33_P3242863	-0.077	3.496
A_33_P3242919	0.181	3.574
A_33_P3243887	-0.227	3.727
A_33_P3244322	-0.102	3.046
A_33_P3244808	0.168	2.783
A_33_P3244818	0.061	2.745
A_33_P3247237	-0.089	3.159
A_33_P3248967	-0.082	2.962
A_33_P3249414	0.158	3.724
A_33_P3249716	0.093	2.678
A_33_P3249837	-0.089	2.924
A_33_P3250209	0.139	2.613
A_33_P3250680	0.333	2.79
A_33_P3251073	-0.117	3.182
A_33_P3251148	-0.087	2.987
A_33_P3251462	-0.093	3.126
A_33_P3251492	-0.203	3.356
A_33_P3251727	0.09	2.946
A_33_P3251776	-0.192	4.695
A_33_P3251901	0.087	2.683
A_33_P3252834	-0.099	2.666
A_33_P3253960	-0.103	3.529
A_33_P3254460	0.059	2.667
A_33_P3256278	-0.08	3.083
A_33_P3257728	0.15	2.93
A_33_P3257993	0.197	2.876
A_33_P3258452	0.182	3.596
A_33_P3258946	-0.076	3.311
A_33_P3259447	-0.198	3.419
A_33_P3261173	0.13	3.159
A_33_P3262635	-0.08	2.649
A_33_P3262769	-0.218	2.954
A_33_P3262814	-0.122	2.591
A_33_P3263432	0.328	4.174
A_33_P3263756	0.075	3.031
A_33_P3263938	-0.194	4.012
A_33_P3264910	-0.098	2.656
A_33_P3265855	-0.26	3.313
A_33_P3266444	-0.079	3.003
A_33_P3268378	0.068	2.736
A_33_P3268793	0.094	2.792
A_33_P3268838	-0.159	4.33
A_33_P3268910	-0.127	3.576
A_33_P3269723	-0.101	3.241
A_33_P3269824	0.351	4.255
A_33_P3270009	0.076	2.874
A_33_P3270445	-0.097	3.472
A_33_P3270623	0.145	3.543
A_33_P3271105	-0.086	2.606
A_33_P3271111	-0.093	3.528
A_33_P3271323	-0.091	2.977
A_33_P3271350	0.202	4.426
A_33_P3271410	0.078	2.831
A_33_P3272090	0.057	2.596
A_33_P3272209	0.163	4.826
A_33_P3273584	-0.263	2.762
A_33_P3273599	-0.173	3.518
A_33_P3274194	-0.126	3.272
A_33_P3275055	0.09	2.814
A_33_P3275968	0.141	3.515
A_33_P3276703	-0.103	2.908
A_33_P3277259	-0.155	4.361
A_33_P3279059	0.125	3.969
A_33_P3279831	0.122	4.083
A_33_P3280418	-0.115	3.956
A_33_P3280721	0.111	3.029
A_33_P3280927	-0.11	3.513
A_33_P3282000	0.196	2.92
A_33_P3282973	-0.081	2.846
A_33_P3286608	0.104	3.167
A_33_P3286616	-0.114	3.22
A_33_P3288359	-0.099	3.967
A_33_P3288614	0.216	2.931
A_33_P3288694	-0.106	2.794
A_33_P3288700	-0.092	2.701
A_33_P3288824	0.23	4.401
A_33_P3289227	0.121	3.441
A_33_P3290443	-0.13	3.383
A_33_P3290487	0.066	3.052
A_33_P3290709	-0.326	3.773
A_33_P3290729	0.096	2.781
A_33_P3292919	-0.063	2.798
A_33_P3294317	-0.175	3.362
A_33_P3294372	-0.112	3.942
A_33_P3294459	-0.159	3.301
A_33_P3294524	0.086	3.131
A_33_P3294608	-0.085	2.866
A_33_P3294654	-0.133	3.216
A_33_P3295108	-0.153	3.325
A_33_P3295538	0.116	3.307
A_33_P3296707	0.095	3.241
A_33_P3299811	-0.099	3.6
A_33_P3302428	0.075	2.832
A_33_P3302448	-0.231	4.924
A_33_P3303215	0.108	3.571
A_33_P3304212	0.086	2.859
A_33_P3306679	-0.404	3.202
A_33_P3306898	0.229	3.447
A_33_P3307810	-0.111	3.067
A_33_P3308332	-0.172	4.477
A_33_P3309665	0.123	4.264
A_33_P3310070	-0.076	3.008
A_33_P3311863	0.062	2.716
A_33_P3312807	0.119	3.436
A_33_P3313835	0.217	2.673
A_33_P3314146	-0.095	3.188
A_33_P3314161	0.069	2.815
A_33_P3314813	0.232	2.708
A_33_P3316078	0.123	2.929
A_33_P3316621	0.206	2.786
A_33_P3316786	0.055	2.705
A_33_P3316928	0.083	2.788
A_33_P3317580	0.109	3.167
A_33_P3319161	-0.063	2.823
A_33_P3319810	0.094	3.193
A_33_P3322519	0.098	2.621
A_33_P3323481	-0.144	4.341
A_33_P3323847	0.109	3.364
A_33_P3324086	-0.063	3.034
A_33_P3324909	-0.093	2.808
A_33_P3328863	0.071	2.99
A_33_P3329255	0.069	2.637
A_33_P3329444	-0.11	3.612
A_33_P3329686	-0.134	4.096
A_33_P3329769	-0.184	4.081
A_33_P3332438	-0.061	2.752
A_33_P3333480	0.139	2.709
A_33_P3334908	-0.107	3.392
A_33_P3335984	-0.081	2.693
A_33_P3336113	0.116	3.217
A_33_P3340014	-0.109	3.645
A_33_P3340655	0.105	2.638
A_33_P3340961	0.115	3.611
A_33_P3341105	-0.079	3.136
A_33_P3341716	0.07	2.699
A_33_P3342443	-0.061	2.614
A_33_P3343210	-0.137	3.904
A_33_P3345255	0.061	2.707
A_33_P3345309	-0.271	5.264
A_33_P3345350	0.131	2.959
A_33_P3345354	-0.069	3.17
A_33_P3346444	0.191	3.311
A_33_P3347697	0.07	2.604
A_33_P3348011	0.236	4.786
A_33_P3348061	0.114	3.337
A_33_P3348714	0.113	2.83
A_33_P3350074	-0.069	3.038
A_33_P3351559	0.129	3.103
A_33_P3352767	0.274	3.338
A_33_P3352822	0.156	3.022
A_33_P3354881	-0.092	2.787
A_33_P3355208	0.167	4.316
A_33_P3356075	-0.095	2.981
A_33_P3356210	-0.202	3.721
A_33_P3356320	0.223	3.036
A_33_P3356701	-0.086	3.309
A_33_P3356926	-0.07	3.127
A_33_P3357097	-0.161	2.844
A_33_P3357535	0.067	3.016
A_33_P3358233	-0.074	2.621
A_33_P3358943	0.089	3.312
A_33_P3358977	0.091	3.003
A_33_P3360611	0.061	2.899
A_33_P3360728	-0.122	3.251
A_33_P3360753	-0.077	2.643
A_33_P3360917	0.201	3.686
A_33_P3361112	0.272	4.242
A_33_P3361417	-0.114	3.281
A_33_P3361513	-0.075	2.967
A_33_P3362311	0.182	3.119
A_33_P3363245	0.105	2.968
A_33_P3365735	-0.239	3.762
A_33_P3365805	0.087	3.001
A_33_P3368771	0.332	6.186
A_33_P3369799	-0.165	2.795
A_33_P3372069	-0.164	2.621
A_33_P3373214	-0.079	2.798
A_33_P3375809	-0.178	3.883
A_33_P3378920	0.073	2.592
A_33_P3379076	-0.206	3.167
A_33_P3380263	0.181	2.599
A_33_P3384871	0.11	3.305
A_33_P3387691	0.298	3.039
A_33_P3387956	-0.085	3.234
A_33_P3388331	-0.089	3.495
A_33_P3389842	0.201	2.825
A_33_P3390708	0.122	2.674
A_33_P3391865	-0.121	3.327
A_33_P3392829	0.192	3.352
A_33_P3393170	0.079	2.833
A_33_P3394213	-0.159	2.811
A_33_P3394868	-0.114	3.196
A_33_P3397051	0.079	2.622
A_33_P3398401	0.06	2.895
A_33_P3398965	-0.08	2.771
A_33_P3399980	0.193	3.291
A_33_P3400147	0.119	2.693
A_33_P3400578	-0.126	2.977
A_33_P3400763	-0.149	2.965
A_33_P3400843	0.154	4.408
A_33_P3401673	-0.101	3.488
A_33_P3402918	-0.061	2.668
A_33_P3404531	-0.202	5.056
A_33_P3405114	-0.136	2.623
A_33_P3405334	-0.095	2.637
A_33_P3407339	-0.11	3.044
A_33_P3407424	-0.303	2.946
A_33_P3407469	-0.198	2.608
A_33_P3408752	-0.095	3.757
A_33_P3409518	0.091	2.648
A_33_P3409939	0.319	2.636
A_33_P3411848	-0.117	2.755
A_33_P3413815	0.111	2.675
A_33_P3413855	0.077	2.793
A_33_P3416150	-0.07	2.63
A_33_P3417313	0.107	3.308
A_33_P3420655	0.076	2.921
A_33_P3420680	0.127	2.892
A_33_P3422133	-0.067	2.775
A_33_P3423551	0.084	2.654
A_33_P3423791	0.127	2.815
A_33_P3489675	-0.447	3.657
A_33_P3523583	0.127	2.983
A_33_P3533325	0.079	2.851
A_33_P3549996	0.259	3.124
A_33_P3577120	-0.072	2.838
A_33_P3592015	-0.071	2.862
A_33_P3594214	-0.133	3.229
A_33_P3605529	0.137	3.385
A_33_P3628409	0.154	3.912
A_33_P3628481	0.093	2.763
A_33_P3630129	-0.128	4.063
A_33_P3676515	0.169	2.898
A_33_P3679936	-0.198	2.618
A_33_P3687198	-0.13	3.04
A_33_P3792489	0.312	4.675
A_33_P3806965	-0.178	2.666
A_33_P3844650	-0.118	3.283
A_33_P3851788	0.095	3.054
